"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","response","stimulus","start_time","start_time_unix","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","trialType","correct","participantID","criticalSpacing","criticalSpacing_deg","isLeft","isUp","isEccen4","eccentricity","eccentricity_deg","viewingDistanceMean","critical_spacing","critical_spacing_deg","crowding_session","correctRate","viewDistance_1","viewDistance_2","viewDistance_3"
"html-keyboard-response","10","175010","0.0-10.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=899.0880000000001 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=545.368 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=708.352 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=354.632 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""803.72,450 808.8725087628926,468.31710042088383 798.5674912371074,468.31710042088383"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","175164","0.0-11.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=803.72 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=899.0880000000001 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=545.368 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=708.352 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=354.632 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""803.72,450 808.8725087628926,431.68289957911617 798.5674912371074,431.68289957911617"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","175534","0.0-12.0","","368","arrowup","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=899.0880000000001 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=545.368 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=708.352 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=354.632 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""803.72,450 808.8725087628926,431.68289957911617 798.5674912371074,431.68289957911617"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","practice_get_response","true","5f3xSjoiUwaWdW1k","95.36800000000001","2.6","false","true","true","146.72","4","552.616","","","","","","",""
"html-keyboard-response","13","176037","0.0-13.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=899.0880000000001 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=545.368 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=708.352 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=354.632 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""803.72,450 808.8725087628926,431.68289957911617 798.5674912371074,431.68289957911617"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","176194","0.0-14.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=510.28 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=605.648 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=545.368 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=414.912 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=354.632 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""510.28,450 515.4325087628926,431.68289957911617 505.12749123710745,431.68289957911617"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","176786","0.0-15.0","","588.6999999284744","arrowup","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=605.648 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=545.368 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=414.912 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=354.632 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""510.28,450 515.4325087628926,431.68289957911617 505.12749123710745,431.68289957911617"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","practice_get_response","true","5f3xSjoiUwaWdW1k","95.36800000000001","2.6","true","true","true","146.72","4","552.616","","","","","","",""
"html-keyboard-response","16","177289","0.0-16.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=605.648 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=545.368 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=414.912 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=354.632 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""510.28,450 515.4325087628926,431.68289957911617 505.12749123710745,431.68289957911617"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","177442","0.0-17.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=510.28 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=596.9781818181818 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=536.6981818181819 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=423.58181818181816 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=363.3018181818182 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""510.28,450 515.4325087628926,431.68289957911617 505.12749123710745,431.68289957911617"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","18","177930","0.0-18.0","","487","arrowup","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=596.9781818181818 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=536.6981818181819 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=423.58181818181816 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=363.3018181818182 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""510.28,450 515.4325087628926,431.68289957911617 505.12749123710745,431.68289957911617"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","practice_get_response","true","5f3xSjoiUwaWdW1k","86.69818181818182","2.36","true","true","true","146.72","4","552.616","","","","","","",""
"html-keyboard-response","19","178432","0.0-19.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=596.9781818181818 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=536.6981818181819 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=423.58181818181816 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=363.3018181818182 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""510.28,450 515.4325087628926,431.68289957911617 505.12749123710745,431.68289957911617"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","178589","0.0-20.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=510.28 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=589.0965289256199 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=528.8165289256199 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=431.46347107438015 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=371.1834710743802 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""510.28,450 515.4325087628926,468.31710042088383 505.12749123710745,468.31710042088383"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","179051","0.0-21.0","","460.39999997615814","arrowdown","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=589.0965289256199 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=528.8165289256199 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=431.46347107438015 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=371.1834710743802 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""510.28,450 515.4325087628926,468.31710042088383 505.12749123710745,468.31710042088383"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","practice_get_response","true","5f3xSjoiUwaWdW1k","78.81652892561983","2.15","true","false","true","146.72","4","552.616","","","","","","",""
"html-keyboard-response","22","181361","0.0-22.0","","2308.7000000476837","arrowdown","<div> 
<h2 class=""bolded-blue"">Well done!</h2>
<p> Now that you have the hang of it, we&#39;ll start the study. This session has 25 trials and takes about 2 minute to complete. </p> 
<p>If you are ready for the real deal, please press the <b>down</b> arrow to continue.
</p>
</div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","184073","0.0-23.0","","2710.399999976158","arrowdown","<div id=""continue""> 
<p>Again, please keep the <b>full screen</b> mode for the best experience.</p>
<p>Please do not move around and keep your eye on the black dot. Click <b>up</b> or <b>down</b> key on your keyboard to indicate the opening of the center circle. Make your best guess!</p>
<p>Please press the <b>down</b> arrow key to start the session 1. </p>
</div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","24","184575","0.0-24.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=589.0965289256199 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=528.8165289256199 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=431.46347107438015 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=371.1834710743802 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""510.28,450 515.4325087628926,468.31710042088383 505.12749123710745,468.31710042088383"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","25","184729","0.0-25.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=803.72 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=899.0880000000001 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=545.368 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=708.352 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=354.632 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""803.72,450 808.8725087628926,468.31710042088383 798.5674912371074,468.31710042088383"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","185165","0.0-26.0","","434","arrowdown","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=899.0880000000001 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=545.368 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=708.352 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=354.632 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""803.72,450 808.8725087628926,468.31710042088383 798.5674912371074,468.31710042088383"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","get_response","true","5f3xSjoiUwaWdW1k","","","false","false","true","146.72","4","552.616","95.36800000000001","2.6","1","0","","",""
"html-keyboard-response","27","185669","0.0-27.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=899.0880000000001 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=545.368 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=708.352 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=354.632 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""803.72,450 808.8725087628926,468.31710042088383 798.5674912371074,468.31710042088383"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","28","185823","0.0-28.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=510.28 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=605.648 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=545.368 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=414.912 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=354.632 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""510.28,450 515.4325087628926,468.31710042088383 505.12749123710745,468.31710042088383"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","186348","0.0-29.0","","523.6000000238419","arrowdown","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=605.648 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=545.368 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=414.912 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=354.632 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""510.28,450 515.4325087628926,468.31710042088383 505.12749123710745,468.31710042088383"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","get_response","true","5f3xSjoiUwaWdW1k","","","true","false","true","146.72","4","552.616","95.36800000000001","2.6","1","0","","",""
"html-keyboard-response","30","186851","0.0-30.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=605.648 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=545.368 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=414.912 cy=450 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=510.28 cy=354.632 r=18.317100420883854 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""510.28,450 515.4325087628926,468.31710042088383 505.12749123710745,468.31710042088383"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","31","187006","0.0-31.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=12.821970294618698 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=803.72 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=899.0880000000001 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=545.368 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=708.352 cy=450 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=803.72 cy=354.632 r=18.317100420883854 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""803.72,450 808.8725087628926,431.68289957911617 798.5674912371074,431.68289957911617"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
