"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","response","stimulus","start_time","start_time_unix","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","trialType","correct","participantID","criticalSpacing","criticalSpacing_deg","isLeft","isUp","isEccen4","eccentricity","eccentricity_deg","viewingDistanceMean","critical_spacing","critical_spacing_deg","crowding_session","correctRate","viewDistance_1","viewDistance_2","viewDistance_3"
"html-keyboard-response","10","187373","0.0-10.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1000.6125 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=865.25 cy=585.3625 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=729.8875 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=865.25 cy=314.6375 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""865.25,450 872.5630183446013,424.0023166263129 857.9369816553987,424.0023166263129"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","187529","0.0-11.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=448.75 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=584.1125 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=585.3625 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=313.3875 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=314.6375 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""448.75,450 456.0630183446013,475.9976833736871 441.4369816553987,475.9976833736871"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","187933","0.0-12.0","","401.40000000596046","arrowdown","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=584.1125 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=585.3625 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=313.3875 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=314.6375 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""448.75,450 456.0630183446013,475.9976833736871 441.4369816553987,475.9976833736871"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","practice_get_response","true","8GYhNwJamJ1CrFlS","135.3625","2.6","true","false","true","208.25","4","690.142","","","","","","",""
"html-keyboard-response","13","188436","0.0-13.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=584.1125 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=585.3625 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=313.3875 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=314.6375 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""448.75,450 456.0630183446013,475.9976833736871 441.4369816553987,475.9976833736871"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","188591","0.0-14.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=448.75 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=584.1125 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=585.3625 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=313.3875 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=314.6375 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""448.75,450 456.0630183446013,475.9976833736871 441.4369816553987,475.9976833736871"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","188900","0.0-15.0","","306.40000000596046","arrowdown","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=584.1125 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=585.3625 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=313.3875 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=314.6375 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""448.75,450 456.0630183446013,475.9976833736871 441.4369816553987,475.9976833736871"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","practice_get_response","true","8GYhNwJamJ1CrFlS","135.3625","2.6","true","false","true","208.25","4","690.142","","","","","","",""
"html-keyboard-response","16","189403","0.0-16.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=584.1125 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=585.3625 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=313.3875 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=314.6375 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""448.75,450 456.0630183446013,475.9976833736871 441.4369816553987,475.9976833736871"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","189559","0.0-17.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=448.75 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=571.8068181818182 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=573.0568181818182 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=325.6931818181818 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=326.9431818181818 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""448.75,450 456.0630183446013,424.0023166263129 441.4369816553987,424.0023166263129"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","18","189954","0.0-18.0","","393.29999999701977","arrowup","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=571.8068181818182 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=573.0568181818182 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=325.6931818181818 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=326.9431818181818 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""448.75,450 456.0630183446013,424.0023166263129 441.4369816553987,424.0023166263129"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","practice_get_response","true","8GYhNwJamJ1CrFlS","123.05681818181819","2.36","true","true","true","208.25","4","690.142","","","","","","",""
"html-keyboard-response","19","190459","0.0-19.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=571.8068181818182 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=573.0568181818182 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=325.6931818181818 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=326.9431818181818 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""448.75,450 456.0630183446013,424.0023166263129 441.4369816553987,424.0023166263129"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","190612","0.0-20.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=865.25 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=977.1198347107438 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=865.25 cy=561.8698347107438 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=753.3801652892562 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=865.25 cy=338.1301652892562 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""865.25,450 872.5630183446013,424.0023166263129 857.9369816553987,424.0023166263129"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","191187","0.0-21.0","","572.2000000029802","arrowup","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=977.1198347107438 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=865.25 cy=561.8698347107438 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=753.3801652892562 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=865.25 cy=338.1301652892562 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""865.25,450 872.5630183446013,424.0023166263129 857.9369816553987,424.0023166263129"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","practice_get_response","true","8GYhNwJamJ1CrFlS","111.8698347107438","2.15","false","true","true","208.25","4","690.142","","","","","","",""
"html-keyboard-response","22","205549","0.0-22.0","","14360.39999999106","arrowdown","<div> 
<h2 class=""bolded-blue"">Well done!</h2>
<p> Now that you have the hang of it, we&#39;ll start the study. This session has 25 trials and takes about 2 minute to complete. </p> 
<p>If you are ready for the real deal, please press the <b>down</b> arrow to continue.
</p>
</div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","223238","0.0-23.0","","17687.5","arrowdown","<div id=""continue""> 
<p>Again, please keep the <b>full screen</b> mode for the best experience.</p>
<p>Please do not move around and keep your eye on the black dot. Click <b>up</b> or <b>down</b> key on your keyboard to indicate the opening of the center circle. Make your best guess!</p>
<p>Please press the <b>down</b> arrow key to start the session 1. </p>
</div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","24","223743","0.0-24.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=560.6198347107438 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=561.8698347107438 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=336.8801652892562 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=338.1301652892562 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""448.75,450 456.0630183446013,475.9976833736871 441.4369816553987,475.9976833736871"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","25","223900","0.0-25.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=865.25 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1000.6125 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=865.25 cy=585.3625 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=729.8875 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=865.25 cy=314.6375 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""865.25,450 872.5630183446013,424.0023166263129 857.9369816553987,424.0023166263129"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","224233","0.0-26.0","","331.20000000298023","arrowup","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1000.6125 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=865.25 cy=585.3625 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=729.8875 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=865.25 cy=314.6375 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""865.25,450 872.5630183446013,424.0023166263129 857.9369816553987,424.0023166263129"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","get_response","true","8GYhNwJamJ1CrFlS","","","false","true","true","208.25","4","690.142","135.3625","2.6","1","0","","",""
"html-keyboard-response","27","224738","0.0-27.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1000.6125 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=865.25 cy=585.3625 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=729.8875 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=865.25 cy=314.6375 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""865.25,450 872.5630183446013,424.0023166263129 857.9369816553987,424.0023166263129"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","28","224895","0.0-28.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=448.75 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=584.1125 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=585.3625 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=313.3875 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=314.6375 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""448.75,450 456.0630183446013,424.0023166263129 441.4369816553987,424.0023166263129"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","225207","0.0-29.0","","309.70000000298023","arrowdown","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=584.1125 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=585.3625 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=313.3875 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=314.6375 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""448.75,450 456.0630183446013,424.0023166263129 441.4369816553987,424.0023166263129"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","get_response","false","8GYhNwJamJ1CrFlS","","","true","true","true","208.25","4","690.142","135.3625","2.6","1","0","","",""
"html-keyboard-response","30","225711","0.0-30.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=584.1125 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=585.3625 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=313.3875 cy=450 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=314.6375 r=25.997683373687078 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""448.75,450 456.0630183446013,424.0023166263129 441.4369816553987,424.0023166263129"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","31","225867","0.0-31.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=18.198378361580954 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=448.75 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=569.7592665052517 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=571.0092665052517 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=327.7407334947483 cy=450 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=448.75 cy=328.9907334947483 r=25.997683373687078 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""448.75,450 456.0630183446013,424.0023166263129 441.4369816553987,424.0023166263129"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
